id,name,dateOfBirth,sex,breed,horseFromPolishBreeding,breeders.name,suffix,mother.name,mother.sex,mother.breed,mother.suffix,father.name,father.sex,father.breed,father.suffix,color.id,color.polishName,color.polishShortName,color.englishName,color.englishShortName,trainer,raceOwners.name,horseCareerData.data.raceYear,horseCareerData.data.horseAge,horseCareerData.data.raceType,horseCareerData.data.raceCount,horseCareerData.data.raceWonCount,horseCareerData.data.racePrizeCount,horseCareerData.data.prize,horseCareerData.recordCount,races.raceId,races.raceDate,races.name,races.order,races.place,races.prize,races.jockey,races.trainer,races.country,races.city
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,38399,22.08.2015,,8,1,4000,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,47352,13.09.2015,,9,2,2000,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,53597,3.10.2015,,11,4,500,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,64821,8.11.2015,,9,6,,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,66210,15.11.2015,,8,3,1000,Anton Turgaev A.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1372,7.05.2016,,9,5,240,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,8024,28.05.2016,,7,2,1920,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12190,11.06.2016,,8,2,1920,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,24656,23.07.2016,,11,5,200,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,35455,13.08.2016,,10,5,240,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,41834,28.08.2016,,7,2,1920,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,48052,11.09.2016,,7,1,4000,Ireneusz Wójcik I.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59830,1.10.2016,,9,5,240,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,70762,22.10.2016,,8,6,,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95377,29.04.2017,,7,5,240,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,95761,27.05.2017,,9,10,,Michal Abik M.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96125,17.06.2017,,10,6,,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,96578,9.07.2017,,12,-5,,Joanna Wyrzyk J.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,97710,3.09.2017,,13,10,,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99093,5.11.2017,,7,4,400,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,99336,19.11.2017,,12,9,,Cornelia Fraisl C.,Michał Romanowski M.,Poland,Warszawa
9,INEXTREMO,2010,GELDING,ARABIAN,,S. Schnakenberg,DE,Isy,MARE,ARABIAN,PT,Marwan I,STALLION,ARABIAN,FR,1,kasztanowata,kaszt.,chestnut,chest.,Michał Romanowski M.,Polski Klub Wiejski Sp. z o.o.,2014,4,Płaskie,9,3,6,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,6,19980 zł,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2015,5,Płaskie,5,2,2,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,5,2,2,13600 zł,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2016,6,Płaskie,8,0,5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,8,0,5,6770 zł,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,2017,7,Płaskie,10,3,5,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,9,3,5,17600 zł,,,,,,,,,,,
